"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/07/27 10:03:03 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","CSA","","","CSA","","Nobody","1941","No","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","Nobody","The Cairo Pact","","","No","Iraq;Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","Yes","Entente","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/07/27 10:03:21 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","Kingdom of Spain","1941","GEA (with or without Vietnam)","1938","USA","","","USA","","Nobody","1940","Yes, sided with USA","Late 1940","Nobody","Nobody","","","1941","","No","1940","","","","","Did not join","","","","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Argentina","1941","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Third Internationale","1941","Did not happen","Did not happen","1942","Did not happen","Before 1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","","Mongolia and Tibet","1941","Shandong Clique","Quarter 1, 1937",""
"2022/07/27 10:04:07 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","Carlists","1940","GEA (with or without Vietnam)","1938","NEE","","","","","NEE","1939","Yes, sided with PSA","Early 1940","Nobody","Nobody","","","1942","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","Two Sicilies","Argentina","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Entente","1938","Did not happen","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1940","Shandong Clique","Quarter 1, 1937",""
"2022/07/27 10:06:24 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","CNT-FAI","1940","GEA (with or without Vietnam)","1937","CSA","","","","","CSA","1942","No","Late 1940","Nobody","Nobody","","","","","No","1941","","","","","1940","","","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","Did not happen","Nobody","The Ottoman Empire","","","","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Belgrade Pact","1940","1940","Did not happen","1942","Did not happen","Did not happen","1941","Did not happen","Started by Transamur","Nobody","Conquered all of China","Republic of East Turkestan","1942","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/07/27 10:06:41 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","Kingdom of Spain","1940","GEA (with or without Vietnam)","1936","Nobody","","","Nobody","","Nobody","Did not end","Yes, sided with USA","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1942","","1942","No","Yes, was repelled","No","Italian Republic/Federation","Argentina","1941","Did not happen","The Pact","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Entente","1938","1943","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","Could not push into China","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936",""
"2022/07/27 10:06:58 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1936","Nobody","","","Nobody","","Nobody","Did not end","No","Mid 1939","Internationale","Russia","1941","","","","No","1940","","","1942","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","Did not happen","The Pact","The Ottoman Empire","","","","No","Iraq;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Entente","1939","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Started by Russia","","","Nobody","Did not end","Mongolia and Tibet","1939","Shandong Clique","Quarter 1, 1937",""
"2022/07/27 10:07:30 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","Carlists","1938","GEA (with or without Vietnam)","1937","PSA","","","PSA","","Nobody","1942","No","Mid 1939","Reichspakt","Reichspakt","","1942","1942","","No","1940","","","","","1941","","1942","No","Yes, successfully","Yes, successfully","Split between starting nations","Argentina","1938","Did not happen","The Pact","Nobody","","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Third Internationale","1939","1941","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Started by Japan","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1940","Nanjing Clique","Quarter 4, 1936",""
"2022/07/27 10:09:18 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","Kingdom of Spain","1939","","1936","CSA","","","","","CSA","1941","No","Early 1940","Reichspakt","Reichspakt","","1942","","","No","1940","","","","","1940","","","","No","No","Italian Republic/Federation","Chile","1938","Did not happen","Bulgaria","The Cairo Pact","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Entente","1938","1940","Did not happen","","Did not happen","Did not happen","1942","Did not happen","Started by Transamur","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Republic of East Turkestan","1937","Mongolia and Tibet","1940","Nanjing Clique","Quarter 1, 1937",""
"2022/07/27 10:09:45 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1938","CSA","","","CSA","","Nobody","1943","Yes, sided with USA","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","","","Yes, was repelled","Yes, was repelled","Italian Republic/Federation","Chile","1938","Did not happen","Bulgaria","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Entente","1938","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Could not push into China","Nobody","Did not end","Ma Clique","1942","Nanjing Clique","Quarter 4, 1936",""
"2022/07/27 10:10:17 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","CNT-FAI","1939","Indochina","1938","CSA","","","CSA","","Nobody","1942","Yes, declared war on CSA","Mid 1940","Internationale","Russia","1942","","","","Yes, during or after WK2","1940","1942","CSA","1942","Commune of France","1940","1942","1940","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","Nobody","","","","No","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Belgrade Pact","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","No","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Shandong Clique","Quarter 1, 1937",""
"2022/07/27 10:10:34 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","Kingdom of Spain","1941","Nobody","Did not end","USA","","","USA","","Nobody","1941","No","Mid 1940","Nobody","Nobody","","","1942","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","Nobody","","","","Yes, and the war did not end","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","","1939","1942","Did not happen","Did not happen","Did not happen","Before 1938","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1939","Mongolia and Tibet","1940","Nanjing Clique","Quarter 4, 1936",""
"2022/07/27 10:10:50 PM GMT+4","","Dev","The Alpha Dog","Yes","1943","2022-07-27","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1938","","","","","","NEE","1941","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","1941","No","Yes, was repelled","No","Socialist Republic of Italy","Chile","1939","","The Pact","The Ottoman Empire","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","Moscow Accord","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Anqing Clique","Quarter 4, 1936",""
"2022/07/27 10:11:07 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-27","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1938","Nobody","","","","Nobody","Nobody","Did not end","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","","","No","Did not join","","","","","1942","","1942","No","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1940","Did not happen","The Pact","Nobody","","","","No","Cyprus;Armenia;Tripolitania","Split between starting nations","No","Belgrade Pact","1940","1942","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","Started by Transamur","Nobody","Conquered only the coastal states","Xinjiang Clique","1937","Ma Clique","1941","Nanjing Clique","Quarter 4, 1936",""
"2022/07/27 10:11:38 PM GMT+4","","Dev","The Alpha Dog","Yes","1944","2022-07-27","No","","Single-player","Carlists","1939","Indochina","1938","CSA","","","","CSA","Nobody","1941","Yes, sided with USA","Mid 1940","Reichspakt","Nobody","","1941","1941","","No","1940","","","","","Did not join","","Did not join","","Yes, successfully","Yes, successfully","Italian Republic/Federation","Argentina","1938","","The Pact","The Cairo Pact","","","","No","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Belgrade Pact","1939","1941","Did not happen","1939","1942","Did not happen","1941","Did not happen","Started by Transamur","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1940","Shandong Clique","Quarter 1, 1937",""
"2022/07/28 11:38:27 AM GMT+4","","Dev","Pelmen","Yes","1944","2022-07-28","No","","Single-player","CNT-FAI","1937","Indochina","1938","PSA","","","","","PSA","1941","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","1942","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania","Princely Federation/Hyderabad","No","Entente","1938","Did not happen","Did not happen","1942","1942","1938","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Nobody","Did not end","Anqing Clique","Quarter 4, 1936",""
"2022/07/28 11:38:43 AM GMT+4","","Dev","Pelmen","Yes","1945","2022-07-28","No","","Single-player","CNT-FAI","1937","Indochina","1938","USA","","USA","","","","1941","No","Mid 1940","Reichspakt","Reichspakt","","1941","","","No","1940","","","","","1940","","1940","No","Yes, successfully","No","Italian Republic/Federation","Chile","1938","Brazil","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","Reichspakt","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1941","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","","Nanjing Clique","Quarter 4, 1936",""
"2022/07/28 11:38:59 AM GMT+4","","Dev","Pelmen","Yes","1944","2022-07-28","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1941","USA","","","","","USA","1939","Yes, sided with USA","Early 1939","Internationale","Russia","1944","","1942","","No","1940","","","","","1939","1944","1940","Yes, during or after WK2","Yes, was repelled","Yes, successfully","ANI Italy","Chile","1938","Did not happen","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Moscow Accord","1938","1941","Did not happen","1942","Did not happen","1938","Did not happen","1943","Started by Transamur","Nobody","Could not push into China","Republic of East Turkestan","1937","Nobody","Did not end","Anqing Clique","Quarter 4, 1936",""
"2022/07/28 11:39:15 AM GMT+4","","Dev","Pelmen","Yes","1946","2022-07-28","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1938","CSA","","CSA","","","","1942","Yes, sided with USA","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","1941","No","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Reichspakt","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1940","Shandong Clique","Quarter 1, 1937",""
"2022/07/28 11:39:31 AM GMT+4","","Dev","Pelmen","Yes","1942","2022-07-28","No","","Single-player","Kingdom of Spain","1938","Nobody","Did not end","TEX","","","","","TEX","1940","Yes, declared war on CSA","Mid 1940","Nobody","Nobody","","","1941","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1938","Did not happen","Bulgaria","Nobody","","","","Yes, and the war did not end","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania","Split between starting nations","No","Reichspakt","Did not happen","Did not happen","Did not happen","1941","1941","1939","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Anqing Clique","Quarter 1, 1937",""
"2022/07/28 11:39:47 AM GMT+4","","Dev","Pelmen","Yes","1945","2022-07-28","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","Nobody","","","","","Nobody","Did not end","No","Mid 1940","Reichspakt","Reichspakt","","1943","1941","","No","1940","","","","","1940","","1941","No","Yes, successfully","Yes, successfully","Italian Republic/Federation","Chile","1938","Did not happen","The Pact","The Ottoman Empire","","","","No","Kurdistan;Assyria;Armenia;Tripolitania","Princely Federation/Hyderabad","No","Reichspakt","1940","1941","Did not happen","1944","1943","1938","1942","Did not happen","No","Fengtian alone","Conquered all of China","Republic of East Turkestan","1943","Nobody","Did not end","Nanjing Clique","Quarter 1, 1937",""
"2022/07/28 11:40:03 AM GMT+4","","Dev","Pelmen","Yes","1944","2022-07-28","No","","Single-player","CNT-FAI","1937","Indochina","1938","USA","","USA","","","","1940","Yes, sided with USA","Mid 1940","Nobody","Reichspakt","","","1941","1943","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","Two Sicilies","Chile","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Hejaz;Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","No","Third Internationale","1939","1942","Did not happen","1939","Did not happen","Did not happen","1943","Did not happen","Started by Japan","Nobody","Could not push into China","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 1, 1937",""
"2022/07/28 11:40:19 AM GMT+4","","Dev","Pelmen","Yes","1945","2022-07-28","No","","Single-player","CNT-FAI","1938","Indochina","1941","PSA","","","","","PSA","1944","No","Early 1940","Internationale","Russia","1941","","","","No","1940","","","1944","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Chile","1938","Did not happen","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Reichspakt","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/07/28 11:40:34 AM GMT+4","","Dev","Pelmen","Yes","1945","2022-07-28","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1938","USA","","USA","","","","1942","No","Early 1940","Nobody","Nobody","","","1941","","No","1940","","","1944","Germany/the Reichspakt","Did not join","","","","No","Yes, successfully","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/07/28 11:40:50 AM GMT+4","","Dev","Pelmen","Yes","1944","2022-07-28","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","TEX","","","","TEX","","1943","Yes, declared war on CSA","Early 1940","Internationale","Russia","1943","","","","No","1940","","","","","1940","1943","","","No","No","Socialist Republic of Italy","Chile","1938","Did not happen","Bulgaria","The Cairo Pact","","","","Yes, but OTT still lost the war","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Entente","1938","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1944","No","Nobody","Could not push into China","Kumul Khanate","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/07/28 11:41:05 AM GMT+4","","Dev","Pelmen","Yes","1944","2022-07-28","No","","Single-player","Carlists","1937","Indochina","1938","USA","","USA","","","","1940","Yes, sided with USA","Early 1940","Reichspakt","Nobody","","1941","","","No","1940","","","","","1940","","1941","No","No","Yes, was repelled","Italian Republic/Federation","Chile","1938","Brazil","The Pact","The Ottoman Empire","","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","No","Third Internationale","1938","Did not happen","Did not happen","1943","1943","1941","Did not happen","Did not happen","Started by Transamur","Nobody","","Xinjiang Clique","1936","Mongolia and Tibet","1940","Nanjing Clique","Quarter 4, 1936",""
"2022/07/28 4:00:56 PM GMT+4","","Dev","Pelmen","Yes","1945","2022-07-28","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1938","USA","","","USA","","Nobody","1944","Yes, sided with USA","Early 1940","Reichspakt","Reichspakt","","1944","","","No","1940","","","","","1942","","1942","No","No","Yes, was repelled","Split between starting nations","Argentina","1939","Argentina","The Pact","Nobody","The Ottoman Empire","","","No","Assyria;Armenia;Cyrenaica","Split between starting nations","No","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","1940","Before 1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/07/28 4:10:25 PM GMT+4","","Dev","Pelmen","Yes","1945","2022-07-28","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1938","USA","","","USA","","Nobody","1944","Yes, sided with USA","Early 1940","Reichspakt","Reichspakt","","1944","","","No","1940","","","","","1942","","1942","No","No","Yes, was repelled","Split between starting nations","Argentina","1939","Argentina","The Pact","Nobody","The Ottoman Empire","","","No","Assyria;Armenia;Cyrenaica","Split between starting nations","No","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","1940","Before 1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Anqing Clique","Quarter 4, 1936",""
"2022/07/29 1:50:14 PM GMT+4","","Dev","El Daddy","Yes","1948","2022-07-29","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","","CSA","","","","","CSA","1945","No","Early 1940","Reichspakt","Reichspakt","","1942","","1944","Yes, during or after WK2","1940","After 1945","CSA","","","1940","","1940","No","Yes, successfully","Yes, was repelled","Socialist Republic of Italy","Argentina","1939","Did not happen","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Assyria;Cyprus;Armenia;Tripolitania","Bharatiya Commune","Yes","Moscow Accord","1940","1941","Did not happen","1939","1943","Did not happen","1942","Did not happen","Started by Japan","Nobody","Conquered only the coastal states","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 3, 1936",""
"2022/07/29 1:58:01 PM GMT+4","","Dev","El Daddy","Yes","1943","2022-07-29","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1937","PSA","","","","","PSA","1940","Yes, sided with PSA","Early 1940","Reichspakt","Nobody","","1942","","","No","1940","","","","","Did not join","","Did not join","","Yes, successfully","Yes, was repelled","ANI Italy","Argentina","1942","Did not happen","The Pact","The Ottoman Empire","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Entente","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1942","Nanjing Clique","Quarter 3, 1936",""
"2022/07/29 1:58:15 PM GMT+4","","Dev","El Daddy","Yes","1948","2022-07-29","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1938","USA","","","USA","","Nobody","1941","No","Early 1940","Nobody","Nobody","","","1945","","No","1940","","","After 1945","Germany/the Reichspakt","1941","","","","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Argentina","1939","Did not happen","Bulgaria","Nobody","The Cairo Pact","","","Yes, but OTT still lost the war","Iraq;Kurdistan;Assyria;Armenia;Cyrenaica","Dominion of India","No","Moscow Accord","1938","1941","Did not happen","Did not happen","1942","1940","1945","Did not happen","No","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1940","Shandong Clique","Quarter 1, 1937",""
"2022/07/29 1:58:28 PM GMT+4","","Dev","El Daddy","Yes","1946","2022-07-29","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","USA","","USA","","","","1941","Yes, sided with USA","Mid 1940","Nobody","Reichspakt","","","1942","1944","No","1940","","","","","Did not join","","","","No","Yes, successfully","Split between starting nations","Argentina","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","Yes","Entente","1942","After 1945","After 1945","1945","Did not happen","Before 1938","1944","Did not happen","Started by Japan","","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936",""
"2022/07/29 1:58:41 PM GMT+4","","Dev","El Daddy","Yes","1945","2022-07-29","No","","Single-player","Carlists","1939","Indochina","1939","PSA","","","","PSA","Nobody","1944","No","Early 1940","Reichspakt","Reichspakt","","1942","1943","","No","1940","","","","","1940","","","","Yes, successfully","Yes, successfully","Socialist Republic of Italy","Argentina","1940","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Cyprus;Armenia;Tripolitania","Split between starting nations","No","Moscow Accord","1939","Did not happen","Did not happen","Did not happen","Did not happen","1944","Did not happen","Did not happen","Started by Japan","Nobody","","Kumul Khanate","1943","Ma Clique","1937","Nanjing Clique","Quarter 4, 1936",""
"2022/07/29 1:58:55 PM GMT+4","","Dev","El Daddy","Yes","1947","2022-07-29","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1938","PSA","","","","PSA","Nobody","1939","Yes, sided with PSA","Early 1940","Nobody","Reichspakt","","","1941","1944","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Argentina","1940","Did not happen","The Pact","Nobody","The Ottoman Empire","","","Yes, and OTT won the war","Iraq;Assyria;Armenia;Cyrenaica","Bharatiya Commune","No","Reichspakt","1939","1941","1943","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","Pushed back (with or without the Fading Sun)","Nobody","Did not end","Mongolia and Tibet","1938","Anqing Clique","Quarter 1, 1937",""
"2022/07/29 1:59:09 PM GMT+4","","Dev","El Daddy","Yes","1947","2022-07-29","No","","Single-player","Carlists","1944","GEA (with or without Vietnam)","1937","PSA","","","PSA","","Nobody","1942","Yes, sided with PSA","Early 1939","Internationale","Russia","1941","","","","No","1940","","","1942","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","No","Yes, was repelled","Split between starting nations","Argentina","1939","Did not happen","The Pact","The Cairo Pact","","","","No","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Entente","Did not happen","Did not happen","Did not happen","1940","1940","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
